model,regime,role,n,c_usage_pct,acc_classical_pct,acc_wcs_pct,delta_wcs_minus_classical_pct
deepseek_8b,forced-choice,adult,8192,0.0,5.8,6.1,0.4
deepseek_8b,forced-choice,child,8192,0.0,5.9,6.2,0.4
deepseek_8b,forced-choice,none,8192,0.0,5.9,6.2,0.4
deepseek_8b,forced-choice,teen,8192,0.0,5.9,6.2,0.4
deepseek_8b,CoT-384 sub256,adult,464,2.2,8.4,10.3,1.9
deepseek_8b,CoT-384 sub256,child,512,2.3,11.1,11.3,0.2
deepseek_8b,CoT-384 sub256,none,512,3.9,10.4,12.7,2.3
deepseek_8b,CoT-384 sub256,teen,512,1.6,11.7,11.7,0.0
deepseek_8b,CoT-1024 sub64,adult,136,25.7,32.4,32.4,0.0
deepseek_8b,CoT-1024 sub64,child,136,20.6,41.2,30.1,-11.0
deepseek_8b,CoT-1024 sub64,none,88,31.8,36.4,36.4,0.0
deepseek_8b,CoT-1024 sub64,teen,152,21.7,32.9,36.8,3.9
flan_t5_base3,forced-choice,adult,8192,0.2,10.7,11.8,1.1
flan_t5_base3,forced-choice,child,8192,0.2,10.9,12.0,1.1
flan_t5_base3,forced-choice,none,8192,0.3,10.0,11.6,1.6
flan_t5_base3,forced-choice,teen,8192,0.1,10.8,11.9,1.1
flan_t5_large3,forced-choice,adult,8192,4.7,14.3,14.3,-0.0
flan_t5_large3,forced-choice,child,8192,4.6,14.3,14.2,-0.1
flan_t5_large3,forced-choice,none,8192,5.7,15.3,15.8,0.5
flan_t5_large3,forced-choice,teen,8192,4.4,14.1,14.0,-0.1
flan_t5_small4,forced-choice,adult,8192,0.0,5.9,7.0,1.2
flan_t5_small4,forced-choice,child,8192,0.0,5.9,7.0,1.2
flan_t5_small4,forced-choice,none,8192,0.0,5.9,7.0,1.2
flan_t5_small4,forced-choice,teen,8192,0.0,5.9,7.0,1.2
mistral_7b,forced-choice,adult,8192,12.5,21.6,22.8,1.2
mistral_7b,forced-choice,child,8192,24.4,31.8,32.6,0.7
mistral_7b,forced-choice,none,8192,13.0,21.4,22.8,1.3
mistral_7b,forced-choice,teen,8192,16.9,25.4,26.6,1.1
mistral_7b,CoT-384 sub256,adult,512,16.6,25.2,24.4,-0.8
mistral_7b,CoT-384 sub256,child,512,26.8,36.5,35.4,-1.2
mistral_7b,CoT-384 sub256,none,512,13.7,22.1,23.2,1.2
mistral_7b,CoT-384 sub256,teen,512,19.3,28.1,27.1,-1.0
